,NOCCode,Países,População,Ouro Tokyo,Prata Tokyo,Bronze Tokyo,Total medalhas Tokyo,Ranking medalhas Tokyo,Ouro paralimpíadas,Prata paralimpíadas,Bronze paralimpíadas,Total medalhas paralimpíadas,Ranking medalhas paralimpíadas,Ranking IDH global 2019,IDH 2019,Ouro Rio,Prata Rio,Bronze Rio,Total medalhas Rio,Ranking IDH global 2014,IDH 2014,Total medalhas,Ranking total olimpíadas,População por medalhas,Ranking pop por medalha
58,BUL,Bulgaria,7364570,3,1,2,6,39,0,2,0,2,69,56,0.816,0,1,2,3,59,0.782,223,53,33024,12
59,SLO,Slovenia,2057540,3,1,1,5,42,0,1,1,2,71,22,0.917,1,2,1,4,25,0.88,40,47,51438,18
60,ROM,Romania,19042936,1,3,0,4,47,0,1,1,2,71,49,0.828,1,1,2,4,52,0.793,307,46,62029,20
61,LTU,Lithuania,3192800,0,1,0,1,77,0,0,3,3,76,34,0.882,0,1,3,4,37,0.839,25,45,127712,43
62,POR,Portugal,10561614,1,1,2,4,47,0,0,2,2,77,38,0.864,0,0,1,1,43,0.83,24,66,440067,67
63,QAT,Qatar,1699435,2,0,1,3,60,0,0,1,1,78,45,0.848,0,1,0,1,32,0.85,5,77,339887,62
64,KEN,Kenya,38610097,4,4,2,10,25,0,0,1,1,78,143,0.601,6,6,1,13,145,0.548,99,21,390,64
65,ARM,Armenia,3268500,0,2,2,4,47,0,0,0,0,87,81,0.776,1,3,0,4,85,0.733,16,48,204281,49
66,BRN,Bahrain,1234571,0,1,0,1,77,0,0,0,0,87,42,0.852,1,1,0,2,45,0.824,4,65,308642,59
67,BAH,Bahamas,353658,2,0,0,2,66,0,0,0,0,87,58,0.814,1,0,1,2,55,0.79,13,62,27204,8
68,CIV,Côte d'Ivoire,21395000,0,0,1,1,77,0,0,0,0,87,162,0.538,1,0,1,2,172,0.462,3,63,7131666,124
69,EST,Estonia,1318005,1,0,1,2,66,0,0,0,0,87,29,0.892,0,0,1,1,30,0.861,41,70,32146,11
70,FIJ,Fiji,868,1,0,1,2,66,0,0,0,0,87,93,0.743,1,0,0,1,90,0.727,1,82,868,80
71,PHI,Philippines,92337852,1,2,1,4,47,0,0,0,0,87,107,0.718,0,1,0,1,115,0.668,10,78,9233785,131
72,GRN,Grenada,110821,0,0,1,1,77,0,0,0,0,87,74,0.779,0,1,0,1,79,0.75,2,76,5541,19
73,JAM,Jamaica,2705827,4,1,4,9,26,0,0,0,0,87,101,0.734,6,3,2,11,99,0.719,78,26,3469,13
74,RSA,South Africa,50586757,1,2,0,3,60,0,0,0,0,87,188,0.397,2,6,2,10,116,0.666,86,28,588218,72
75,DOM,Dominican Republic,9378818,0,3,2,5,42,0,0,0,0,87,88,0.756,0,0,1,1,101,0.715,7,69,1339831,91
